Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-01-11,MW708239.1,USA: FL,0.0,0.0,5.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2021-01-12,MW708240.1,USA: FL,0.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0
2021-01-12,MW708244.1,USA: FL,0.0,0.0,2.0,0.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0
2021-01-13,MW708241.1,USA: FL,0.0,0.0,3.0,0.0,14.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
2021-01-16,MW708067.1,USA: FL,1.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2021-01-16,MW708070.1,USA: FL,0.0,0.0,3.0,0.0,13.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0
2021-01-19,MW708072.1,USA: FL,0.0,0.0,4.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
2021-01-19,MW708073.1,USA: FL,0.0,0.0,2.0,0.0,14.0,0.0,0.0,3.0,0.0,1.0,1.0,4.0
2021-01-20,MW708074.1,USA: FL,1.0,0.0,3.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-01-20,MW708242.1,USA: FL,0.0,1.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-01-20,MW708243.1,USA: FL,0.0,0.0,3.0,0.0,16.0,0.0,1.0,1.0,0.0,2.0,0.0,3.0
2021-01-20,MW708310.1,USA: FL,1.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2021-01-21,MW708307.1,USA: FL,0.0,0.0,3.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2021-01-24,MW720749.1,USA: Florida,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0
2021-01-24,MW720750.1,USA: Florida,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
