Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-04-18,MZ160331.1,USA: Massachusetts,0.0,3.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-18,MZ161439.1,USA: Massachusetts,0.0,2.0,6.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-18,MZ161505.1,USA: Massachusetts,0.0,2.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-18,MZ161525.1,USA: Massachusetts,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-18,MZ161553.1,USA: Massachusetts,0.0,3.0,2.0,3.0,19.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-04-18,MZ161582.1,USA: Massachusetts,0.0,2.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-18,MZ161633.1,USA: Massachusetts,1.0,0.0,6.0,0.0,15.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0
2021-04-18,MZ161676.1,USA: Massachusetts,0.0,3.0,3.0,3.0,17.0,0.0,1.0,2.0,2.0,2.0,3.0,4.0
2021-04-18,MZ161702.1,USA: Massachusetts,0.0,4.0,2.0,3.0,13.0,0.0,1.0,4.0,1.0,3.0,4.0,1.0
2021-04-18,MZ152519.1,USA: Massachusetts,0.0,0.0,4.0,0.0,10.0,1.0,1.0,2.0,0.0,1.0,1.0,3.0
2021-04-18,MZ152539.1,USA: Massachusetts,0.0,3.0,2.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-04-18,MZ152553.1,USA: Massachusetts,0.0,2.0,5.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-04-18,MZ152555.1,USA: Massachusetts,0.0,2.0,3.0,3.0,16.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
