Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-03-10,MW993746.1,USA: New York,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-03-11,MW993011.1,USA: New York,1.0,0.0,8.0,0.0,15.0,0.0,0.0,2.0,1.0,5.0,0.0,2.0
2021-03-11,MW993013.1,USA: New York,1.0,0.0,3.0,0.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2021-03-11,MW993031.1,USA: New York,0.0,0.0,6.0,1.0,11.0,0.0,0.0,4.0,1.0,4.0,1.0,5.0
2021-03-12,MW993045.1,USA: New York,1.0,0.0,3.0,1.0,5.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0
2021-03-12,MW993169.1,USA: New York,0.0,0.0,3.0,1.0,11.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0
2021-03-12,MW994122.1,USA: New York,1.0,0.0,6.0,0.0,11.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0
2021-03-12,MW994132.1,USA: New York,0.0,1.0,2.0,0.0,19.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0
2021-03-12,MW994135.1,USA: New York,1.0,0.0,3.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
2021-03-12,MW994521.1,USA: New York,0.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0
2021-03-12,MW994547.1,USA: New York,2.0,0.0,3.0,0.0,14.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0
2021-03-12,MW994550.1,USA: New York,1.0,0.0,3.0,0.0,16.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0
2021-03-13,MW993121.1,USA: New York,1.0,0.0,3.0,0.0,16.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0
2021-03-13,MW993122.1,USA: New York,1.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2021-03-13,MW993181.1,USA: New York,2.0,0.0,2.0,1.0,9.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0
2021-03-13,MW993184.1,USA: New York,1.0,0.0,6.0,0.0,12.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-03-13,MW993659.1,USA: New York,0.0,3.0,2.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-03-13,MW993661.1,USA: New York,1.0,2.0,3.0,0.0,8.0,1.0,0.0,1.0,0.0,2.0,2.0,5.0
2021-03-13,MW993718.1,USA: New York,0.0,0.0,2.0,1.0,8.0,0.0,0.0,2.0,0.0,5.0,1.0,3.0
2021-03-13,MW993738.1,USA: New York,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
2021-03-13,MW993828.1,USA: New York,1.0,0.0,6.0,0.0,12.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0
