Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-02-03,MW731244.1,USA: CT,0.0,1.0,2.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
2021-02-05,MW766540.1,USA: CT,1.0,0.0,2.0,1.0,8.0,0.0,0.0,3.0,0.0,5.0,0.0,1.0
2021-02-05,MW766543.1,USA: CT,0.0,0.0,2.0,1.0,7.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0
2021-02-09,MW766544.1,USA: CT,1.0,0.0,2.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2021-02-10,MW773832.1,USA: Connecticut,0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-02-11,MW720155.1,USA: Connecticut,0.0,2.0,5.0,4.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-11,MW720157.1,USA: Connecticut,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-02-11,MW720159.1,USA: Connecticut,0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,2.0,2.0,3.0,4.0
2021-02-13,MW719635.1,USA: Connecticut,0.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,1.0,3.0,1.0,4.0
2021-02-13,MW719645.1,USA: Connecticut,0.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0
2021-02-13,MW719657.1,USA: Connecticut,0.0,0.0,5.0,2.0,15.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0
2021-02-13,MW719660.1,USA: Connecticut,1.0,1.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-13,MW719679.1,USA: Connecticut,0.0,0.0,2.0,1.0,11.0,0.0,0.0,2.0,0.0,5.0,1.0,4.0
2021-02-13,MW719693.1,USA: Connecticut,0.0,1.0,5.0,2.0,14.0,0.0,0.0,2.0,0.0,2.0,1.0,3.0
2021-02-13,MW719699.1,USA: Connecticut,3.0,0.0,5.0,1.0,11.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-14,MW776971.1,USA: Connecticut,0.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
2021-02-14,MW781881.1,USA: Connecticut,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-02-14,MW781882.1,USA: Connecticut,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-02-14,MW719691.1,USA: Connecticut,0.0,0.0,4.0,0.0,8.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0
2021-02-14,MW719720.1,USA: Connecticut,0.0,0.0,3.0,2.0,13.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2021-02-15,MW773475.1,USA: Connecticut,0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-15,MW773555.1,USA: Connecticut,0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-02-15,MW773558.1,USA: Connecticut,0.0,3.0,2.0,4.0,15.0,0.0,1.0,2.0,2.0,2.0,3.0,5.0
2021-02-15,MW773569.1,USA: Connecticut,0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-15,MW773573.1,USA: Connecticut,0.0,3.0,2.0,3.0,14.0,0.0,1.0,2.0,2.0,2.0,3.0,4.0
2021-02-15,MW773574.1,USA: Connecticut,0.0,2.0,3.0,3.0,12.0,0.0,1.0,4.0,2.0,2.0,3.0,2.0
2021-02-15,MW773575.1,USA: Connecticut,0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-02-15,MW766541.1,USA: CT,0.0,0.0,5.0,2.0,15.0,0.0,0.0,3.0,0.0,3.0,1.0,3.0
2021-02-16,MW773477.1,USA: Connecticut,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,2.0,2.0,3.0,4.0
2021-02-16,MW773483.1,USA: Connecticut,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,2.0,2.0,3.0,4.0
2021-02-16,MW720180.1,USA: Connecticut,2.0,1.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
2021-02-16,MW720484.1,USA: Connecticut,1.0,0.0,2.0,0.0,18.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
2021-02-16,MW720518.1,USA: Connecticut,0.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0
2021-02-16,MW720524.1,USA: Connecticut,0.0,0.0,2.0,0.0,11.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0
2021-02-16,MW720530.1,USA: Connecticut,0.0,1.0,4.0,0.0,22.0,1.0,0.0,0.0,1.0,1.0,0.0,7.0
2021-02-17,MW773639.1,USA: Connecticut,0.0,2.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-17,MW773674.1,USA: Connecticut,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0
2021-02-17,MW773675.1,USA: Connecticut,0.0,2.0,3.0,3.0,12.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-02-17,MW773679.1,USA: Connecticut,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,2.0,2.0,3.0,4.0
2021-02-17,MW719624.1,USA: Connecticut,0.0,0.0,2.0,0.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-02-17,MW719650.1,USA: Connecticut,1.0,0.0,2.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2021-02-17,MW719670.1,USA: Connecticut,0.0,0.0,4.0,0.0,8.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0
2021-02-17,MW719689.1,USA: Connecticut,0.0,0.0,3.0,1.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-02-17,MW719695.1,USA: Connecticut,0.0,0.0,6.0,0.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0
2021-02-17,MW719718.1,USA: Connecticut,1.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-02-17,MW720285.1,USA: Connecticut,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-02-17,MW720441.1,USA: Connecticut,0.0,0.0,5.0,2.0,15.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0
2021-02-17,MW720469.1,USA: Connecticut,1.0,0.0,4.0,1.0,8.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
2021-02-17,MW720478.1,USA: Connecticut,0.0,2.0,2.0,0.0,13.0,0.0,0.0,2.0,0.0,2.0,0.0,7.0
2021-02-17,MW720480.1,USA: Connecticut,1.0,1.0,4.0,0.0,11.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0
2021-02-17,MW720486.1,USA: Connecticut,0.0,1.0,3.0,0.0,21.0,1.0,0.0,0.0,1.0,1.0,0.0,8.0
2021-02-17,MW720488.1,USA: Connecticut,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0
2021-02-17,MW720491.1,USA: Connecticut,0.0,1.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-17,MW720499.1,USA: Connecticut,0.0,0.0,2.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2021-02-17,MW720520.1,USA: Connecticut,1.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-17,MW720542.1,USA: Connecticut,0.0,0.0,6.0,2.0,16.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0
2021-02-18,MW773670.1,USA: Connecticut,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,2.0,2.0,3.0,2.0
2021-02-18,MW773673.1,USA: Connecticut,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,2.0,2.0,3.0,2.0
2021-02-18,MW773689.1,USA: Connecticut,0.0,2.0,4.0,3.0,11.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-02-18,MW773690.1,USA: Connecticut,0.0,2.0,4.0,3.0,12.0,0.0,1.0,3.0,2.0,2.0,3.0,2.0
2021-02-18,MW773703.1,USA: Connecticut,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,2.0,2.0,3.0,2.0
2021-02-18,MW773712.1,USA: Connecticut,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,2.0,2.0,3.0,2.0
2021-02-18,MW773721.1,USA: Connecticut,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,2.0,2.0,3.0,2.0
2021-02-18,MW720225.1,USA: Connecticut,0.0,1.0,4.0,0.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
2021-02-18,MW720226.1,USA: Connecticut,2.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
2021-02-18,MW720283.1,USA: Connecticut,0.0,1.0,3.0,0.0,22.0,1.0,0.0,0.0,1.0,2.0,0.0,6.0
2021-02-19,MW792808.1,USA: CT,1.0,1.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-19,MW719883.1,USA: Connecticut,1.0,0.0,6.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-02-19,MW720231.1,USA: Connecticut,0.0,1.0,4.0,0.0,15.0,0.0,1.0,1.0,0.0,2.0,1.0,5.0
2021-02-19,MW720251.1,USA: Connecticut,1.0,1.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-20,MW781886.1,USA: Connecticut,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,2.0,2.0,3.0,4.0
2021-02-20,MW728698.1,USA: Connecticut,0.0,0.0,2.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-20,MW719619.1,USA: Connecticut,0.0,0.0,2.0,0.0,10.0,0.0,0.0,3.0,0.0,4.0,1.0,3.0
2021-02-20,MW719646.1,USA: Connecticut,2.0,1.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2021-02-20,MW719880.1,USA: Connecticut,2.0,1.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2021-02-20,MW719901.1,USA: Connecticut,0.0,1.0,3.0,0.0,9.0,0.0,0.0,3.0,0.0,2.0,3.0,3.0
2021-02-20,MW720179.1,USA: Connecticut,0.0,0.0,4.0,0.0,8.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0
2021-02-20,MW720232.1,USA: Connecticut,1.0,0.0,2.0,0.0,18.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
2021-02-20,MW720273.1,USA: Connecticut,0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
2021-02-21,MW803410.1,USA: Connecticut,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,2.0,2.0,3.0,2.0
2021-02-21,MW781876.1,USA: Connecticut,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0
