Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-01-01,MW935496.1,USA: TX,1.0,0.0,2.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0
2021-01-01,MW935497.1,USA: TX,0.0,1.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2021-01-02,MW935501.1,USA: TX,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-01-06,MW935504.1,USA: TX,1.0,0.0,4.0,1.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
2021-01-06,MW935506.1,USA: TX,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0
2021-01-06,MW935507.1,USA: TX,0.0,1.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2021-01-06,MW935510.1,USA: TX,0.0,0.0,5.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
2021-01-06,MW935511.1,USA: TX,0.0,0.0,5.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
2021-01-07,MW935516.1,USA: TX,1.0,0.0,2.0,0.0,11.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0
2021-01-07,MW935517.1,USA: TX,0.0,0.0,4.0,0.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
2021-01-07,MW935518.1,USA: TX,0.0,0.0,3.0,0.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
2021-01-07,MW935519.1,USA: TX,0.0,0.0,4.0,0.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
2021-01-07,MW935520.1,USA: TX,0.0,0.0,2.0,1.0,9.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0
2021-01-17,MW960454.1,USA: TX,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2021-01-18,MW960451.1,USA: TX,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2021-01-18,MW960452.1,USA: TX,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,6.0
2021-01-18,MW960455.1,USA: TX,0.0,0.0,2.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2021-01-18,MW960456.1,USA: TX,1.0,0.0,3.0,1.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0
2021-01-18,MW960462.1,USA: TX,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0
2021-01-19,MW960459.1,USA: TX,0.0,0.0,2.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2021-01-19,MW960460.1,USA: TX,1.0,0.0,2.0,0.0,16.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
2021-01-19,MW960461.1,USA: TX,0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
2021-01-19,MW960465.1,USA: TX,0.0,0.0,4.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
2021-01-20,MW960463.1,USA: TX,0.0,1.0,2.0,1.0,14.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0
2021-01-20,MW960464.1,USA: TX,0.0,1.0,2.0,1.0,14.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0
