Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-02-01,MW975000.1,USA: Massachusetts,0.0,2.0,1.0,0.0,9.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0
2021-02-01,MW975010.1,USA: Massachusetts,1.0,0.0,3.0,1.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2021-02-01,MW687499.1,USA: Massachusetts,0.0,2.0,3.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-02-01,MW666361.1,USA: Massachusetts,0.0,1.0,3.0,0.0,9.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0
2021-02-01,MW666363.1,USA: Massachusetts,1.0,0.0,3.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-02-01,MW666377.1,USA: Massachusetts,0.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-02-01,MW666431.1,USA: Massachusetts,1.0,0.0,3.0,0.0,16.0,0.0,0.0,1.0,0.0,3.0,0.0,6.0
2021-02-01,MW666442.1,USA: Massachusetts,1.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2021-02-01,MW666461.1,USA: Massachusetts,0.0,1.0,2.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0
2021-02-01,MW666471.1,USA: Massachusetts,0.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-02-01,MW666494.1,USA: Massachusetts,0.0,0.0,5.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-01,MW666499.1,USA: Massachusetts,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
2021-02-01,MW666512.1,USA: Massachusetts,1.0,0.0,3.0,1.0,11.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0
2021-02-01,MW666515.1,USA: Massachusetts,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-01,MW666542.1,USA: Massachusetts,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-02-01,MW666543.1,USA: Massachusetts,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2021-02-01,MW666571.1,USA: Massachusetts,0.0,1.0,4.0,0.0,9.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
2021-02-01,MW666594.1,USA: Massachusetts,0.0,1.0,5.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2021-02-01,MW666607.1,USA: Massachusetts,1.0,0.0,2.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0
2021-02-01,MW666617.1,USA: Massachusetts,0.0,1.0,3.0,0.0,9.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0
2021-02-01,MW669709.1,USA: Massachusetts,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0
2021-02-01,MW644346.1,USA: Massachusetts,0.0,1.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
2021-02-02,MW687502.1,USA: Massachusetts,0.0,1.0,4.0,0.0,8.0,0.0,0.0,2.0,0.0,2.0,3.0,3.0
2021-02-02,MW687503.1,USA: Massachusetts,1.0,1.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
2021-02-02,MW687524.1,USA: Massachusetts,1.0,0.0,1.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2021-02-02,MW672680.1,USA: Massachusetts,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0
2021-02-02,MW672700.1,USA: Massachusetts,1.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0
2021-02-02,MW644233.1,USA: Massachusetts,0.0,0.0,5.0,0.0,9.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0
2021-02-02,MW617729.1,USA: Massachusetts,1.0,0.0,2.0,1.0,10.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
2021-02-02,MW617735.1,USA: Massachusetts,1.0,0.0,2.0,1.0,9.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
2021-02-03,MW687505.1,USA: Massachusetts,0.0,1.0,5.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2021-02-03,MW687521.1,USA: Massachusetts,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
2021-02-03,MW672762.1,USA: Massachusetts,1.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-02-03,MW672789.1,USA: Massachusetts,0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0
2021-02-04,MW720705.1,USA: Massachusetts,0.0,2.0,3.0,3.0,11.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-02-04,MW687507.1,USA: Massachusetts,0.0,0.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
2021-02-04,MW687523.1,USA: Massachusetts,1.0,0.0,2.0,1.0,8.0,0.0,1.0,5.0,0.0,2.0,0.0,1.0
2021-02-04,MW687525.1,USA: Massachusetts,1.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2021-02-04,MW672800.1,USA: Massachusetts,0.0,0.0,3.0,2.0,15.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0
2021-02-04,MW672821.1,USA: Massachusetts,0.0,0.0,3.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2021-02-04,MW672825.1,USA: Massachusetts,1.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-02-05,MW750089.1,USA: Massachusetts,0.0,1.0,4.0,0.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0
2021-02-05,MW750095.1,USA: Massachusetts,0.0,0.0,5.0,0.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0
2021-02-05,MW750096.1,USA: Massachusetts,2.0,1.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-02-05,MW750097.1,USA: Massachusetts,0.0,1.0,4.0,0.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0
2021-02-05,MW750098.1,USA: Massachusetts,0.0,0.0,5.0,0.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0
2021-02-05,MW750099.1,USA: Massachusetts,0.0,0.0,3.0,2.0,13.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0
2021-02-05,MW750100.1,USA: Massachusetts,1.0,0.0,2.0,1.0,15.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0
2021-02-05,MW750103.1,USA: Massachusetts,0.0,0.0,2.0,0.0,15.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0
2021-02-05,MW750104.1,USA: Massachusetts,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-02-05,MW687508.1,USA: Massachusetts,0.0,1.0,5.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2021-02-05,MW687510.1,USA: Massachusetts,0.0,0.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
2021-02-05,MW687511.1,USA: Massachusetts,0.0,1.0,3.0,0.0,8.0,0.0,1.0,2.0,0.0,2.0,3.0,3.0
2021-02-05,MW687512.1,USA: Massachusetts,0.0,0.0,1.0,3.0,13.0,1.0,1.0,2.0,0.0,4.0,1.0,7.0
2021-02-05,MW687513.1,USA: Massachusetts,0.0,0.0,4.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
2021-02-05,MW687527.1,USA: Massachusetts,0.0,0.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2021-02-05,MW677964.1,USA: Massachusetts,0.0,2.0,2.0,3.0,14.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0
2021-02-05,MW672859.1,USA: Massachusetts,0.0,1.0,2.0,0.0,12.0,0.0,0.0,3.0,1.0,1.0,0.0,7.0
2021-02-05,MW672891.1,USA: Massachusetts,0.0,0.0,3.0,0.0,14.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
2021-02-05,MW631738.1,USA: Massachusetts,1.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2021-02-05,MW631746.1,USA: Massachusetts,0.0,0.0,5.0,0.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0
2021-02-05,MW631762.1,USA: Massachusetts,0.0,2.0,3.0,1.0,17.0,0.0,1.0,0.0,0.0,2.0,1.0,6.0
2021-02-05,MW631764.1,USA: Massachusetts,0.0,0.0,5.0,0.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,9.0
2021-02-05,MW631770.1,USA: Massachusetts,0.0,1.0,4.0,0.0,13.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0
2021-02-05,MW631785.1,USA: Massachusetts,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-02-05,MW631787.1,USA: Massachusetts,0.0,0.0,5.0,1.0,12.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0
2021-02-05,MW631788.1,USA: Massachusetts,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0
2021-02-05,MW631795.1,USA: Massachusetts,0.0,1.0,2.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2021-02-06,MW834669.1,USA: Massachusetts,1.0,2.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0
2021-02-06,MW750026.1,USA: Massachusetts,0.0,0.0,2.0,0.0,15.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0
2021-02-06,MW750085.1,USA: Massachusetts,1.0,0.0,2.0,1.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2021-02-06,MW687514.1,USA: Massachusetts,0.0,0.0,2.0,1.0,9.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0
2021-02-06,MW687518.1,USA: Massachusetts,1.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-02-06,MW677973.1,USA: Massachusetts,0.0,1.0,3.0,3.0,11.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0
