Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-12-22,MW729314.1,USA: GA,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2020-12-22,MW729315.1,USA: GA,0.0,0.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-12-22,MW729316.1,USA: GA,0.0,0.0,1.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0
2020-12-23,MW634530.1,USA: Georgia,0.0,0.0,4.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0
2020-12-24,MW634461.1,USA: Georgia,0.0,0.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0
2020-12-26,MW634320.1,USA: Georgia,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
2020-12-26,MW634405.1,USA: Georgia,0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
2020-12-26,MW634446.1,USA: Georgia,0.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,1.0,2.0,0.0,3.0
2020-12-26,MW634447.1,USA: Georgia,0.0,0.0,4.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2020-12-26,MW634455.1,USA: Georgia,0.0,1.0,2.0,0.0,12.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0
2020-12-26,MW634469.1,USA: Georgia,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2020-12-26,MW634480.1,USA: Georgia,1.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
2020-12-26,MW634482.1,USA: Georgia,0.0,0.0,4.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2020-12-26,MW634560.1,USA: Georgia,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-12-26,MW634567.1,USA: Georgia,0.0,0.0,3.0,1.0,7.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
2020-12-26,MW634577.1,USA: Georgia,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-12-26,MW634588.1,USA: Georgia,1.0,0.0,4.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0
2020-12-27,MW634561.1,USA: Georgia,0.0,1.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2020-12-27,MW634571.1,USA: Georgia,0.0,1.0,3.0,0.0,8.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0
2020-12-27,MW634579.1,USA: Georgia,0.0,0.0,3.0,0.0,6.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0
2020-12-27,MW634586.1,USA: Georgia,1.0,0.0,2.0,1.0,8.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0
2021-01-04,MW709010.1,USA: GA,0.0,1.0,2.0,0.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0
