Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-03-30,MZ076099.1,USA: Illinois,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,3.0,3.0,3.0
2021-03-31,MZ076108.1,USA: Illinois,2.0,2.0,4.0,1.0,16.0,1.0,1.0,3.0,0.0,5.0,2.0,4.0
2021-04-01,MZ074447.1,USA: Illinois,2.0,2.0,4.0,1.0,16.0,1.0,1.0,3.0,0.0,4.0,2.0,4.0
2021-04-01,MZ074483.1,USA: Illinois,0.0,2.0,6.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-01,MZ074489.1,USA: Illinois,2.0,2.0,7.0,2.0,15.0,1.0,1.0,2.0,0.0,4.0,2.0,5.0
2021-04-01,MZ075790.1,USA: Illinois,1.0,0.0,4.0,1.0,14.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0
2021-04-01,MZ075807.1,USA: Illinois,0.0,2.0,6.0,4.0,15.0,0.0,2.0,2.0,1.0,4.0,4.0,2.0
2021-04-01,MZ075815.1,USA: Illinois,1.0,2.0,6.0,3.0,16.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-01,MZ075977.1,USA: Illinois,1.0,0.0,4.0,0.0,18.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2021-04-01,MZ076091.1,USA: Illinois,2.0,2.0,4.0,1.0,14.0,1.0,1.0,2.0,0.0,5.0,2.0,4.0
2021-04-01,MZ076124.1,USA: Illinois,2.0,2.0,4.0,1.0,14.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-04-01,MZ076141.1,USA: Illinois,0.0,2.0,2.0,3.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-04-01,MZ076462.1,USA: Illinois,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-04-02,MZ074356.1,USA: Illinois,0.0,3.0,2.0,3.0,15.0,0.0,1.0,4.0,1.0,4.0,3.0,2.0
2021-04-02,MZ074357.1,USA: Illinois,2.0,2.0,4.0,1.0,15.0,1.0,1.0,3.0,0.0,4.0,2.0,5.0
2021-04-02,MZ074358.1,USA: Illinois,0.0,1.0,4.0,1.0,12.0,0.0,1.0,3.0,1.0,2.0,1.0,3.0
2021-04-02,MZ074359.1,USA: Illinois,2.0,2.0,4.0,1.0,15.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-04-02,MZ074360.1,USA: Illinois,0.0,2.0,2.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0
2021-04-02,MZ074362.1,USA: Illinois,0.0,4.0,2.0,4.0,15.0,0.0,1.0,3.0,1.0,4.0,3.0,3.0
2021-04-02,MZ074388.1,USA: Illinois,2.0,2.0,4.0,1.0,17.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-04-02,MZ074389.1,USA: Illinois,0.0,2.0,5.0,3.0,17.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-04-02,MZ074390.1,USA: Illinois,2.0,2.0,4.0,1.0,17.0,1.0,0.0,2.0,0.0,4.0,2.0,4.0
2021-04-02,MZ074395.1,USA: Illinois,0.0,3.0,2.0,0.0,15.0,0.0,1.0,3.0,0.0,2.0,0.0,3.0
2021-04-02,MZ074538.1,USA: Illinois,0.0,1.0,1.0,0.0,13.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0
2021-04-02,MZ074554.1,USA: Illinois,0.0,3.0,3.0,3.0,18.0,0.0,1.0,3.0,2.0,3.0,3.0,2.0
2021-04-02,MZ074589.1,USA: Illinois,1.0,2.0,3.0,4.0,12.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-02,MZ074596.1,USA: Illinois,0.0,1.0,2.0,0.0,15.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0
2021-04-02,MZ074784.1,USA: Illinois,2.0,2.0,3.0,1.0,16.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-04-02,MZ075660.1,USA: Illinois,0.0,2.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-04-02,MZ075711.1,USA: Illinois,0.0,1.0,1.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0
2021-04-02,MZ075716.1,USA: Illinois,0.0,3.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,4.0,3.0,2.0
2021-04-02,MZ075836.1,USA: Illinois,0.0,1.0,4.0,0.0,14.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0
2021-04-02,MZ075840.1,USA: Illinois,0.0,3.0,2.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-02,MZ075852.1,USA: Illinois,0.0,1.0,3.0,0.0,14.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0
2021-04-02,MZ075880.1,USA: Illinois,0.0,3.0,3.0,3.0,17.0,0.0,1.0,3.0,2.0,3.0,3.0,2.0
2021-04-02,MZ075889.1,USA: Illinois,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-02,MZ075906.1,USA: Illinois,0.0,1.0,1.0,0.0,18.0,0.0,0.0,0.0,1.0,2.0,1.0,6.0
2021-04-02,MZ076010.1,USA: Illinois,0.0,1.0,4.0,0.0,14.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0
2021-04-02,MZ076011.1,USA: Illinois,0.0,1.0,5.0,0.0,14.0,0.0,0.0,2.0,1.0,0.0,0.0,8.0
2021-04-02,MZ076014.1,USA: Illinois,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-04-02,MZ076017.1,USA: Illinois,2.0,2.0,4.0,1.0,14.0,1.0,1.0,2.0,0.0,4.0,2.0,5.0
2021-04-02,MZ076062.1,USA: Illinois,0.0,1.0,6.0,0.0,13.0,0.0,0.0,2.0,1.0,1.0,0.0,8.0
2021-04-02,MZ076134.1,USA: Illinois,0.0,3.0,2.0,3.0,17.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-04-02,MZ076139.1,USA: Illinois,0.0,4.0,2.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-04-02,MZ076155.1,USA: Illinois,0.0,2.0,6.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-04-02,MZ076164.1,USA: Illinois,2.0,2.0,4.0,1.0,15.0,1.0,1.0,2.0,0.0,4.0,2.0,5.0
2021-04-02,MZ076192.1,USA: Illinois,0.0,2.0,2.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0
2021-04-02,MZ076219.1,USA: Illinois,2.0,2.0,3.0,1.0,15.0,1.0,1.0,3.0,0.0,4.0,2.0,5.0
2021-04-03,MZ074720.1,USA: Illinois,0.0,2.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-03,MZ074721.1,USA: Illinois,0.0,3.0,2.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-04-03,MZ074773.1,USA: Illinois,2.0,2.0,3.0,1.0,17.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-04-03,MZ075182.1,USA: Illinois,1.0,0.0,3.0,1.0,15.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0
2021-04-03,MZ075333.1,USA: Illinois,0.0,4.0,2.0,3.0,13.0,0.0,1.0,4.0,1.0,2.0,4.0,1.0
2021-04-03,MZ075624.1,USA: Illinois,0.0,2.0,2.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0
2021-04-03,MZ075642.1,USA: Illinois,0.0,0.0,5.0,2.0,15.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0
2021-04-03,MZ075650.1,USA: Illinois,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,6.0
2021-04-04,MZ074883.1,USA: Illinois,2.0,2.0,4.0,1.0,14.0,1.0,1.0,4.0,0.0,4.0,2.0,4.0
2021-04-04,MZ074884.1,USA: Illinois,0.0,2.0,5.0,3.0,17.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-04-04,MZ074885.1,USA: Illinois,0.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0
2021-04-04,MZ074886.1,USA: Illinois,1.0,0.0,3.0,1.0,14.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0
2021-04-04,MZ074887.1,USA: Illinois,0.0,3.0,2.0,3.0,15.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-04-04,MZ075053.1,USA: Illinois,0.0,0.0,5.0,3.0,14.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0
2021-04-04,MZ075625.1,USA: Illinois,0.0,1.0,4.0,0.0,13.0,0.0,2.0,3.0,1.0,0.0,1.0,6.0
2021-04-04,MZ075627.1,USA: Illinois,0.0,2.0,3.0,3.0,21.0,0.0,1.0,3.0,1.0,2.0,2.0,3.0
2021-04-04,MZ075629.1,USA: Illinois,0.0,1.0,3.0,0.0,13.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0
2021-04-04,MZ075641.1,USA: Illinois,0.0,2.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-04-04,MZ075643.1,USA: Illinois,0.0,3.0,3.0,3.0,17.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-04-04,MZ075677.1,USA: Illinois,0.0,4.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0
2021-04-04,MZ075684.1,USA: Illinois,0.0,1.0,1.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0
2021-04-04,MZ075687.1,USA: Illinois,0.0,4.0,3.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
