Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-02-29,MT276327.1,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-02-29,MT276326.2,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
2020-03,MT325571.1,USA: GA,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03,MT344946.1,USA: GA,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-03,MT304480.1,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03-03,MT304479.1,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0
2020-03-04,MT304481.1,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03-05,MT325570.1,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03-07,MT344945.1,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03-08,MT325572.1,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-09,MW008579.1,USA: Georgia,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-10,MT539163.1,USA: Georgia,0.0,0.0,2.0,0.0,4.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0
2020-03-10,MT325575.1,USA: GA,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03-10,MW008580.1,USA: Georgia,0.0,0.0,2.0,0.0,4.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0
2020-03-13,MT614528.1,USA: GA,1.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03-13,MT539162.1,USA: Georgia,0.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-13,MT614561.1,USA: GA,1.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03-13,MT614530.1,USA: GA,1.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03-13,MT614529.1,USA: GA,1.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03-13,MT614476.1,USA: GA,0.0,0.0,1.0,0.0,6.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03-13,MW190962.1,USA: GA,1.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-13,MW191215.1,USA: GA,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2020-03-13,MW191213.1,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03-13,MW191212.1,USA: GA,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-13,MW190966.1,USA: GA,0.0,0.0,1.0,0.0,6.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-13,MW008562.1,USA: Georgia,0.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-14,MW191366.1,USA: GA,0.0,0.0,1.0,0.0,5.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0
2020-03-14,MW008568.1,USA: Georgia,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03-14,MW191217.1,USA: GA,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2020-03-14,MW190884.1,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-14,MW191214.1,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03-14,MW190885.1,USA: GA,0.0,0.0,1.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0
2020-03-14,MW191216.1,USA: GA,0.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2020-03-15,MW008581.1,USA: Georgia,0.0,0.0,1.0,0.0,4.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-15,MW008574.1,USA: Georgia,0.0,1.0,1.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-15,MW008573.1,USA: Georgia,0.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-15,MW008566.1,USA: Georgia,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
