Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-02-12,MW781901.1,USA: Pennsylvania,0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-02-12,MW781905.1,USA: Pennsylvania,0.0,3.0,2.0,3.0,16.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-02-14,MW777743.1,USA: Pennsylvania,0.0,0.0,2.0,1.0,19.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0
2021-02-15,MW777888.1,USA: Pennsylvania,0.0,0.0,5.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2021-02-15,MW778456.1,USA: Pennsylvania,1.0,0.0,2.0,1.0,7.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0
2021-02-15,MW778489.1,USA: Pennsylvania,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0
2021-02-16,MW777747.1,USA: Pennsylvania,0.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-16,MW777763.1,USA: Pennsylvania,0.0,0.0,3.0,0.0,13.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0
2021-02-16,MW777764.1,USA: Pennsylvania,1.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
2021-02-16,MW777786.1,USA: Pennsylvania,0.0,0.0,3.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0
2021-02-16,MW777798.1,USA: Pennsylvania,0.0,0.0,3.0,0.0,15.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2021-02-16,MW777825.1,USA: Pennsylvania,0.0,0.0,1.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
2021-02-16,MW777829.1,USA: Pennsylvania,0.0,0.0,6.0,1.0,8.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
2021-02-16,MW777854.1,USA: Pennsylvania,0.0,0.0,2.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
2021-02-16,MW777862.1,USA: Pennsylvania,0.0,0.0,2.0,0.0,16.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0
2021-02-16,MW778623.1,USA: Pennsylvania,1.0,0.0,2.0,1.0,10.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0
2021-02-16,MW778624.1,USA: Pennsylvania,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0
2021-02-16,MW778627.1,USA: Pennsylvania,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2021-02-16,MW778629.1,USA: Pennsylvania,1.0,0.0,3.0,1.0,6.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0
2021-02-16,MW778630.1,USA: Pennsylvania,1.0,0.0,3.0,1.0,10.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0
2021-02-16,MW778632.1,USA: Pennsylvania,1.0,0.0,3.0,1.0,9.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0
2021-02-16,MW778637.1,USA: Pennsylvania,0.0,1.0,2.0,0.0,16.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0
2021-02-16,MW778638.1,USA: Pennsylvania,0.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2021-02-16,MW778639.1,USA: Pennsylvania,0.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2021-02-16,MW778645.1,USA: Pennsylvania,0.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-02-16,MW778651.1,USA: Pennsylvania,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-02-16,MW779171.1,USA: Pennsylvania,0.0,0.0,2.0,2.0,14.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0
2021-02-17,MW777724.1,USA: Pennsylvania,0.0,1.0,3.0,0.0,16.0,0.0,0.0,1.0,1.0,2.0,0.0,5.0
2021-02-17,MW777729.1,USA: Pennsylvania,1.0,0.0,3.0,1.0,10.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0
2021-02-17,MW777746.1,USA: Pennsylvania,1.0,0.0,2.0,1.0,8.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
2021-02-17,MW778251.1,USA: Pennsylvania,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0
2021-02-17,MW778328.1,USA: Pennsylvania,0.0,0.0,4.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2021-02-17,MW778353.1,USA: Pennsylvania,0.0,0.0,3.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2021-02-18,MW777922.1,USA: Pennsylvania,1.0,0.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0
2021-02-18,MW777969.1,USA: Pennsylvania,1.0,0.0,4.0,1.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
2021-02-18,MW778035.1,USA: Pennsylvania,0.0,0.0,3.0,0.0,15.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-02-18,MW778095.1,USA: Pennsylvania,1.0,0.0,3.0,1.0,8.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0
2021-02-18,MW778098.1,USA: Pennsylvania,1.0,0.0,4.0,1.0,10.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
