Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-03-04,MT325587.1,USA: MD,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-03-08,MW010248.1,USA: MD,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2020-03-08,MT509474.1,USA: Maryland,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-09,MW010249.1,USA: MD,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2020-03-11,MT509475.1,USA: Maryland,0.0,0.0,1.0,0.0,6.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
2020-03-11,MT646078.1,USA: Maryland,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-11,MT646071.1,USA: Maryland,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-11,MW010246.1,USA: MD,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0
2020-03-11,MW010247.1,USA: MD,0.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,MT614536.1,USA: MD,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-13,MT509454.1,USA: Maryland,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MT509459.1,USA: Maryland,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-14,MT646053.1,USA: Maryland,0.0,0.0,2.0,0.0,4.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0
2020-03-14,MT509453.1,USA: Maryland,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
