Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-01-26,MW776878.1,USA: TX,1.0,2.0,5.0,5.0,17.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-01-26,MW776889.1,USA: TX,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-01-26,MW776890.1,USA: TX,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-01-26,MW776921.1,USA: TX,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-01-27,MW776925.1,USA: TX,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-01-27,MW776926.1,USA: TX,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-01-27,MW776928.1,USA: TX,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-01-29,MW776907.1,USA: TX,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-01-29,MW776930.1,USA: TX,0.0,2.0,6.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-01-29,MW776940.1,USA: TX,0.0,2.0,6.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-01-29,MW776941.1,USA: TX,0.0,2.0,6.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-01,MW776886.1,USA: TX,0.0,2.0,6.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-01,MW776891.1,USA: TX,0.0,1.0,6.0,0.0,15.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
2021-02-01,MW776903.1,USA: TX,0.0,3.0,2.0,3.0,16.0,0.0,1.0,2.0,2.0,3.0,3.0,2.0
2021-02-01,MW776904.1,USA: TX,0.0,3.0,3.0,3.0,16.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-02-01,MW776906.1,USA: TX,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-02-01,MW776923.1,USA: TX,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-02-01,MW776942.1,USA: TX,0.0,3.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-02-02,MW776894.1,USA: TX,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-02-02,MW776932.1,USA: TX,0.0,2.0,6.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-02,MW776937.1,USA: TX,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-02,MW776938.1,USA: TX,0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-03,MW776885.1,USA: TX,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-02-03,MW776927.1,USA: TX,0.0,2.0,4.0,3.0,14.0,0.0,1.0,3.0,2.0,2.0,3.0,2.0
2021-02-04,MW776939.1,USA: TX,0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-05,MW776887.1,USA: TX,0.0,2.0,5.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-05,MW776918.1,USA: TX,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-02-06,MW776881.1,USA: TX,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-02-06,MW776882.1,USA: TX,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-02-06,MW776892.1,USA: TX,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-02-07,MW776909.1,USA: TX,0.0,2.0,6.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-07,MW776933.1,USA: TX,0.0,2.0,6.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-08,MW776896.1,USA: TX,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-02-08,MW776905.1,USA: TX,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-02-08,MW776914.1,USA: TX,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-08,MW776916.1,USA: TX,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-08,MW776934.1,USA: TX,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-09,MW776883.1,USA: TX,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,4.0,1.0
2021-02-09,MW776884.1,USA: TX,0.0,3.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-02-09,MW776893.1,USA: TX,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,3.0,3.0,2.0
2021-02-09,MW776897.1,USA: TX,0.0,3.0,3.0,4.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-09,MW776915.1,USA: TX,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-09,MW776917.1,USA: TX,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-02-12,MW777150.1,USA: Texas,0.0,0.0,2.0,0.0,13.0,1.0,0.0,1.0,0.0,3.0,0.0,5.0
2021-02-12,MW777193.1,USA: Texas,0.0,1.0,4.0,1.0,12.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0
2021-02-12,MW777218.1,USA: Texas,0.0,0.0,4.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
2021-02-13,MW777192.1,USA: Texas,0.0,0.0,2.0,0.0,16.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0
2021-02-13,MW777264.1,USA: Texas,0.0,0.0,2.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0
2021-02-13,MW777268.1,USA: Texas,0.0,0.0,3.0,0.0,13.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
2021-02-13,MW777406.1,USA: Texas,1.0,0.0,3.0,1.0,13.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0
2021-02-13,MW778601.1,USA: Texas,0.0,1.0,3.0,0.0,14.0,0.0,1.0,3.0,1.0,4.0,1.0,5.0
2021-02-14,MW777373.1,USA: Texas,0.0,0.0,3.0,1.0,10.0,1.0,0.0,0.0,0.0,2.0,1.0,6.0
2021-02-14,MW777389.1,USA: Texas,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
2021-02-14,MW777978.1,USA: Texas,1.0,0.0,3.0,1.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0
2021-02-14,MW777988.1,USA: Texas,1.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-02-14,MW778195.1,USA: Texas,0.0,0.0,3.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
2021-02-14,MW778265.1,USA: Texas,1.0,0.0,3.0,1.0,6.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0
2021-02-14,MW778305.1,USA: Texas,0.0,0.0,4.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2021-02-14,MW778342.1,USA: Texas,1.0,0.0,4.0,1.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
2021-02-14,MW778376.1,USA: Texas,0.0,0.0,3.0,1.0,10.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0
2021-02-14,MW778398.1,USA: Texas,0.0,0.0,7.0,2.0,8.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0
2021-02-14,MW778443.1,USA: Texas,0.0,0.0,2.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2021-02-15,MW777883.1,USA: Texas,1.0,0.0,3.0,0.0,20.0,0.0,0.0,4.0,0.0,2.0,0.0,4.0
2021-02-15,MW778234.1,USA: Texas,0.0,0.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0
2021-02-15,MW778329.1,USA: Texas,0.0,0.0,2.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0
2021-02-15,MW778354.1,USA: Texas,1.0,0.0,4.0,1.0,12.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
2021-02-15,MW778825.1,USA: Texas,0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0
2021-02-16,MW777455.1,USA: Texas,0.0,1.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-02-16,MW778311.1,USA: Texas,0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0
2021-02-16,MW778351.1,USA: Texas,0.0,1.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-02-16,MW778362.1,USA: Texas,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-16,MW778367.1,USA: Texas,0.0,0.0,4.0,2.0,17.0,0.0,0.0,3.0,0.0,2.0,1.0,7.0
2021-02-16,MW778377.1,USA: Texas,1.0,0.0,3.0,1.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
2021-02-17,MW776910.1,USA: TX,0.0,1.0,6.0,0.0,7.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0
2021-02-17,MW777901.1,USA: Texas,0.0,0.0,3.0,0.0,15.0,0.0,0.0,3.0,0.0,3.0,0.0,4.0
2021-02-17,MW777971.1,USA: Texas,0.0,0.0,4.0,0.0,11.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
2021-02-17,MW778359.1,USA: Texas,0.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0
2021-02-17,MW778366.1,USA: Texas,0.0,1.0,7.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2021-02-17,MW778457.1,USA: Texas,0.0,0.0,4.0,0.0,11.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0
2021-02-17,MW778539.1,USA: Texas,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2021-02-17,MW778829.1,USA: Texas,1.0,0.0,4.0,1.0,15.0,0.0,1.0,1.0,0.0,1.0,0.0,6.0
2021-02-17,MW778836.1,USA: Texas,0.0,0.0,4.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0
2021-02-18,MW777370.1,USA: Texas,0.0,0.0,3.0,0.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-02-18,MW777473.1,USA: Texas,0.0,0.0,2.0,0.0,16.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0
2021-02-18,MW778143.1,USA: Texas,0.0,0.0,3.0,0.0,11.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0
2021-02-18,MW778242.1,USA: Texas,0.0,0.0,4.0,2.0,12.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0
2021-02-18,MW778262.1,USA: Texas,0.0,0.0,3.0,1.0,16.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0
2021-02-18,MW778270.1,USA: Texas,1.0,0.0,3.0,1.0,11.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0
2021-02-18,MW778316.1,USA: Texas,1.0,0.0,3.0,1.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0
2021-02-18,MW778325.1,USA: Texas,0.0,0.0,4.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-02-18,MW778344.1,USA: Texas,1.0,0.0,4.0,1.0,13.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0
2021-02-18,MW778372.1,USA: Texas,0.0,1.0,2.0,1.0,6.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0
2021-02-18,MW778657.1,USA: Texas,0.0,1.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-02-18,MW778830.1,USA: Texas,1.0,0.0,4.0,2.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
2021-02-19,MW777908.1,USA: Texas,0.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0
2021-02-19,MW777932.1,USA: Texas,0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0
2021-02-19,MW777973.1,USA: Texas,0.0,2.0,2.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
2021-02-19,MW777984.1,USA: Texas,1.0,1.0,3.0,1.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
2021-02-19,MW778132.1,USA: Texas,0.0,0.0,3.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2021-02-19,MW778134.1,USA: Texas,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
2021-02-19,MW778136.1,USA: Texas,0.0,0.0,3.0,0.0,17.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
2021-02-19,MW778149.1,USA: Texas,1.0,0.0,4.0,1.0,14.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0
2021-02-19,MW778151.1,USA: Texas,0.0,0.0,6.0,1.0,10.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0
2021-02-19,MW778161.1,USA: Texas,1.0,0.0,3.0,1.0,10.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0
2021-02-19,MW778173.1,USA: Texas,0.0,1.0,4.0,0.0,10.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2021-02-19,MW778583.1,USA: Texas,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0
2021-02-19,MW778622.1,USA: Texas,0.0,0.0,3.0,1.0,6.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0
2021-02-19,MW778633.1,USA: Texas,2.0,0.0,5.0,1.0,12.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0
2021-02-19,MW778797.1,USA: Texas,0.0,0.0,3.0,0.0,15.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0
2021-02-19,MW778801.1,USA: Texas,0.0,0.0,6.0,1.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2021-02-19,MW778805.1,USA: Texas,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0
2021-02-19,MW778812.1,USA: Texas,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0
2021-02-19,MW778828.1,USA: Texas,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-02-19,MW778831.1,USA: Texas,0.0,1.0,4.0,0.0,7.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0
2021-02-19,MW778833.1,USA: Texas,0.0,0.0,2.0,0.0,12.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0
2021-02-20,MW777992.1,USA: Texas,0.0,0.0,6.0,0.0,11.0,0.0,0.0,3.0,0.0,3.0,1.0,2.0
2021-02-20,MW778012.1,USA: Texas,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-02-20,MW778013.1,USA: Texas,0.0,0.0,3.0,5.0,12.0,0.0,0.0,3.0,0.0,2.0,1.0,4.0
2021-02-20,MW778033.1,USA: Texas,0.0,1.0,5.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-02-20,MW778067.1,USA: Texas,0.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2021-02-20,MW778180.1,USA: Texas,0.0,1.0,4.0,2.0,10.0,0.0,0.0,4.0,0.0,2.0,1.0,5.0
2021-02-20,MW778201.1,USA: Texas,1.0,0.0,3.0,0.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0
2021-02-20,MW778222.1,USA: Texas,0.0,0.0,3.0,2.0,12.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0
2021-02-20,MW778429.1,USA: Texas,0.0,0.0,3.0,2.0,12.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0
2021-02-20,MW778433.1,USA: Texas,0.0,0.0,3.0,0.0,14.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0
2021-02-20,MW778582.1,USA: Texas,0.0,0.0,2.0,0.0,14.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0
2021-02-20,MW778586.1,USA: Texas,0.0,0.0,3.0,2.0,14.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0
2021-02-20,MW778712.1,USA: Texas,0.0,0.0,8.0,2.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2021-02-20,MW778727.1,USA: Texas,0.0,1.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-02-20,MW778733.1,USA: Texas,0.0,0.0,3.0,2.0,13.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0
2021-02-20,MW778735.1,USA: Texas,0.0,0.0,3.0,0.0,17.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
2021-02-20,MW778762.1,USA: Texas,0.0,0.0,3.0,2.0,14.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0
2021-02-20,MW778763.1,USA: Texas,0.0,1.0,5.0,2.0,13.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0
