Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-03-09,MZ005039.1,USA: MI,1.0,0.0,3.0,2.0,12.0,0.0,0.0,3.0,2.0,2.0,1.0,3.0
2021-03-11,MW994034.1,USA: Michigan,0.0,3.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-11,MW994518.1,USA: Michigan,1.0,2.0,2.0,3.0,14.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0
2021-03-12,MW993650.1,USA: Michigan,0.0,3.0,2.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-12,MW993652.1,USA: Michigan,0.0,0.0,4.0,1.0,13.0,0.0,0.0,3.0,2.0,2.0,1.0,3.0
2021-03-12,MW994032.1,USA: Michigan,0.0,0.0,4.0,2.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2021-03-12,MW994127.1,USA: Michigan,1.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0
2021-03-12,MW994134.1,USA: Michigan,0.0,1.0,1.0,0.0,17.0,0.0,0.0,1.0,2.0,1.0,1.0,6.0
2021-03-12,MW994436.1,USA: Michigan,0.0,0.0,3.0,0.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
2021-03-13,MW993630.1,USA: Michigan,0.0,2.0,4.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-13,MW993639.1,USA: Michigan,1.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0
2021-03-13,MW993640.1,USA: Michigan,0.0,3.0,3.0,3.0,11.0,0.0,2.0,2.0,2.0,3.0,4.0,1.0
2021-03-13,MW993642.1,USA: Michigan,0.0,3.0,3.0,3.0,12.0,0.0,1.0,2.0,1.0,4.0,3.0,4.0
2021-03-13,MW993646.1,USA: Michigan,0.0,0.0,4.0,2.0,12.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0
2021-03-13,MW993647.1,USA: Michigan,1.0,0.0,7.0,0.0,13.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-03-13,MW993648.1,USA: Michigan,0.0,0.0,4.0,1.0,12.0,0.0,0.0,3.0,1.0,2.0,1.0,3.0
2021-03-13,MW993649.1,USA: Michigan,0.0,0.0,4.0,2.0,12.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0
