Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-11-14,MW863020.1,USA: Tennessee,0.0,0.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-11-15,MW863074.1,USA: Tennessee,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
2020-11-16,MW863036.1,USA: Tennessee,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2020-11-18,MW863055.1,USA: Tennessee,0.0,1.0,2.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0
2020-11-27,MW863043.1,USA: Tennessee,1.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-11-27,MW863082.1,USA: Tennessee,0.0,0.0,3.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
2020-12-09,MW863013.1,USA: Tennessee,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2020-12-31,MW863017.1,USA: Tennessee,0.0,0.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2020-12-31,MW863042.1,USA: Tennessee,0.0,0.0,4.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2021-01-06,MW863050.1,USA: Tennessee,1.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2021-02-25,MW938106.1,USA: TN,0.0,0.0,3.0,0.0,14.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0
2021-02-26,MW836145.1,USA: Tennessee,0.0,0.0,3.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0
2021-03-03,MW877043.1,USA: Tennessee,0.0,3.0,3.0,2.0,13.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-03-03,MW877044.1,USA: Tennessee,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-03,MW877071.1,USA: Tennessee,0.0,3.0,2.0,3.0,17.0,0.0,1.0,4.0,1.0,2.0,3.0,1.0
2021-03-03,MW850899.1,USA: Tennessee,0.0,0.0,2.0,1.0,16.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0
2021-03-03,MW851014.1,USA: Tennessee,0.0,0.0,3.0,1.0,15.0,0.0,0.0,2.0,0.0,3.0,2.0,4.0
2021-03-03,MW851027.1,USA: Tennessee,0.0,1.0,2.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-03-03,MW851028.1,USA: Tennessee,0.0,1.0,2.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-03-03,MW851029.1,USA: Tennessee,1.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2021-03-03,MW844579.1,USA: Tennessee,0.0,3.0,2.0,3.0,17.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-04,MW854720.1,USA: Tennessee,0.0,3.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-04,MW877108.1,USA: Tennessee,0.0,3.0,2.0,3.0,23.0,0.0,1.0,3.0,2.0,3.0,3.0,1.0
2021-03-04,MW877110.1,USA: Tennessee,0.0,3.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-04,MW877111.1,USA: Tennessee,0.0,2.0,5.0,3.0,16.0,0.0,1.0,2.0,1.0,4.0,3.0,3.0
2021-03-04,MW877112.1,USA: Tennessee,0.0,3.0,2.0,3.0,17.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-04,MW864760.1,USA: Tennessee,0.0,3.0,2.0,3.0,16.0,0.0,2.0,3.0,1.0,2.0,3.0,1.0
2021-03-04,MW851146.1,USA: Tennessee,0.0,1.0,1.0,1.0,14.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0
2021-03-04,MW851148.1,USA: Tennessee,0.0,0.0,2.0,0.0,18.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
2021-03-04,MW851149.1,USA: Tennessee,0.0,0.0,2.0,0.0,17.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-03-04,MW851150.1,USA: Tennessee,0.0,0.0,2.0,0.0,16.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0
2021-03-04,MW851151.1,USA: Tennessee,0.0,1.0,4.0,0.0,12.0,1.0,0.0,2.0,0.0,1.0,1.0,4.0
2021-03-05,MW851623.1,USA: Tennessee,0.0,0.0,2.0,1.0,13.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0
2021-03-05,MW851624.1,USA: Tennessee,0.0,0.0,2.0,1.0,13.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0
2021-03-06,MW854715.1,USA: Tennessee,0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-08,MW905100.1,USA: Tennessee,0.0,3.0,2.0,3.0,18.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-08,MW905103.1,USA: Tennessee,0.0,3.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-08,MW905204.1,USA: Tennessee,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-08,MW905205.1,USA: Tennessee,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-08,MW905240.1,USA: Tennessee,0.0,3.0,2.0,3.0,18.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-09,MW905151.1,USA: Tennessee,0.0,3.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-09,MW905152.1,USA: Tennessee,0.0,3.0,2.0,3.0,17.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-09,MW905153.1,USA: Tennessee,0.0,3.0,2.0,3.0,17.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-09,MW905154.1,USA: Tennessee,0.0,3.0,2.0,3.0,17.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-09,MW869535.1,USA: Tennessee,0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-09,MW851614.1,USA: Tennessee,0.0,0.0,3.0,2.0,16.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
2021-03-09,MW851616.1,USA: Tennessee,0.0,0.0,3.0,2.0,15.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0
2021-03-09,MW851617.1,USA: Tennessee,0.0,0.0,2.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0
