Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-12-08,MW781835.1,USA: MD,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0
2020-12-13,MW781834.1,USA: MD,0.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
2020-12-14,MW888100.1,USA: MD,0.0,1.0,1.0,0.0,11.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0
2020-12-14,MW888108.1,USA: MD,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2020-12-15,MW781833.1,USA: MD,0.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
2020-12-16,MW888106.1,USA: MD,0.0,0.0,3.0,1.0,8.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2020-12-16,MW781832.1,USA: MD,0.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
2020-12-17,MW888101.1,USA: MD,0.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
2020-12-17,MW781831.1,USA: MD,0.0,0.0,4.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
2020-12-18,MW888090.1,USA: MD,1.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2020-12-19,MW781830.1,USA: MD,0.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
2020-12-21,MW888098.1,USA: MD,0.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
2020-12-22,MW888092.1,USA: MD,0.0,0.0,3.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2020-12-23,MW888091.1,USA: MD,1.0,1.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0
2020-12-23,MW888107.1,USA: MD,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
2020-12-23,MW781828.1,USA: MD,0.0,0.0,3.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
2020-12-28,MW888093.1,USA: MD,0.0,0.0,5.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
2020-12-28,MW888094.1,USA: MD,0.0,0.0,3.0,0.0,10.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0
2020-12-28,MW888095.1,USA: MD,0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
2020-12-28,MW888097.1,USA: MD,1.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2020-12-28,MW888099.1,USA: MD,0.0,0.0,3.0,0.0,9.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2020-12-28,MW888102.1,USA: MD,0.0,0.0,5.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
2020-12-28,MW888103.1,USA: MD,1.0,0.0,1.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,5.0
2020-12-28,MW888104.1,USA: MD,0.0,1.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0
2020-12-28,MW888109.1,USA: MD,1.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0
2020-12-29,MW850271.1,USA: MD,0.0,0.0,3.0,1.0,15.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0
2021-01-11,MW874048.1,USA: MD,0.0,1.0,2.0,0.0,7.0,1.0,0.0,1.0,0.0,4.0,1.0,2.0
2021-01-11,MW874049.1,USA: MD,0.0,2.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2021-01-11,MW874050.1,USA: MD,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0
2021-01-11,MW874051.1,USA: MD,0.0,2.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2021-01-11,MW874052.1,USA: MD,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2021-01-11,MW874053.1,USA: MD,0.0,0.0,5.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0
2021-01-11,MW874054.1,USA: MD,0.0,0.0,2.0,2.0,12.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0
2021-01-11,MW874057.1,USA: MD,0.0,0.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2021-01-11,MW874058.1,USA: MD,0.0,0.0,4.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
