Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-01-14,MW730939.1,USA: RI,0.0,0.0,3.0,1.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2021-01-19,MW708573.1,USA: RI,0.0,0.0,4.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0
2021-01-19,MW708574.1,USA: RI,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-01-22,MW708570.1,USA: RI,0.0,0.0,5.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
2021-01-22,MW708571.1,USA: RI,0.0,0.0,5.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
2021-01-22,MW708575.1,USA: RI,1.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2021-01-22,MW708583.1,USA: RI,0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
2021-01-25,MW708572.1,USA: RI,0.0,1.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
2021-01-25,MW708576.1,USA: RI,1.0,0.0,3.0,1.0,14.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2021-01-25,MW708578.1,USA: RI,1.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
2021-01-25,MW708579.1,USA: RI,1.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
2021-01-27,MW687528.1,USA: Rhode Island,0.0,1.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
2021-01-27,MW665651.1,USA: Rhode Island,0.0,0.0,3.0,1.0,11.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0
2021-01-27,MW665694.1,USA: Rhode Island,0.0,0.0,3.0,1.0,10.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0
2021-01-28,MW687533.1,USA: Rhode Island,0.0,0.0,6.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2021-01-28,MW665658.1,USA: Rhode Island,1.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
2021-01-28,MW665661.1,USA: Rhode Island,0.0,1.0,5.0,1.0,10.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0
2021-01-28,MW665666.1,USA: Rhode Island,1.0,0.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2021-01-28,MW665680.1,USA: Rhode Island,0.0,0.0,2.0,2.0,15.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0
2021-01-28,MW665698.1,USA: Rhode Island,0.0,0.0,2.0,0.0,15.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0
2021-01-29,MW665643.1,USA: Rhode Island,0.0,1.0,3.0,0.0,7.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0
2021-01-29,MW665671.1,USA: Rhode Island,0.0,1.0,4.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
2021-01-30,MW665696.1,USA: Rhode Island,0.0,1.0,4.0,0.0,7.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
2021-02-01,MW766495.1,USA: RI,0.0,0.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2021-02-01,MW766498.1,USA: RI,0.0,0.0,1.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2021-02-01,MW687535.1,USA: Rhode Island,0.0,0.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2021-02-02,MW766499.1,USA: RI,1.0,0.0,5.0,1.0,11.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0
2021-02-02,MW687537.1,USA: Rhode Island,0.0,0.0,5.0,0.0,16.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-02-02,MW687539.1,USA: Rhode Island,0.0,1.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
2021-02-02,MW687540.1,USA: Rhode Island,0.0,1.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
2021-02-02,MW687541.1,USA: Rhode Island,0.0,1.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
2021-02-02,MW687542.1,USA: Rhode Island,0.0,0.0,3.0,1.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-02-02,MW687553.1,USA: Rhode Island,1.0,0.0,5.0,1.0,11.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0
2021-02-02,MW672715.1,USA: Rhode Island,0.0,1.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
2021-02-03,MW687551.1,USA: Rhode Island,0.0,0.0,2.0,1.0,13.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
2021-02-04,MW766494.1,USA: RI,0.0,0.0,4.0,1.0,16.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-02-04,MW766497.1,USA: RI,0.0,0.0,2.0,0.0,16.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0
2021-02-04,MW687534.1,USA: Rhode Island,0.0,1.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
2021-02-04,MW687548.1,USA: Rhode Island,2.0,0.0,2.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
2021-02-05,MW687549.1,USA: Rhode Island,0.0,0.0,3.0,2.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
2021-02-08,MW750112.1,USA: Rhode Island,0.0,0.0,3.0,2.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2021-02-09,MW766493.1,USA: RI,1.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2021-02-10,MW705590.1,USA: Rhode Island,0.0,0.0,4.0,2.0,12.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2021-02-10,MW687557.1,USA: Rhode Island,0.0,2.0,5.0,3.0,12.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-02-10,MW687562.1,USA: Rhode Island,0.0,1.0,2.0,1.0,15.0,0.0,0.0,1.0,0.0,3.0,0.0,5.0
2021-02-10,MW687563.1,USA: Rhode Island,0.0,1.0,4.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
2021-02-10,MW687565.1,USA: Rhode Island,0.0,1.0,4.0,0.0,10.0,0.0,0.0,1.0,0.0,4.0,3.0,3.0
2021-02-10,MW687566.1,USA: Rhode Island,0.0,0.0,4.0,2.0,13.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0
2021-02-10,MW687571.1,USA: Rhode Island,0.0,0.0,2.0,1.0,10.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
2021-02-10,MW687573.1,USA: Rhode Island,0.0,1.0,4.0,0.0,16.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0
2021-02-10,MW687576.1,USA: Rhode Island,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2021-02-10,MW687579.1,USA: Rhode Island,0.0,1.0,2.0,0.0,13.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0
2021-02-10,MW687582.1,USA: Rhode Island,1.0,0.0,3.0,0.0,13.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0
2021-02-10,MW687592.1,USA: Rhode Island,2.0,0.0,3.0,1.0,12.0,0.0,0.0,4.0,1.0,2.0,0.0,3.0
2021-02-11,MW687591.1,USA: Rhode Island,0.0,0.0,1.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
2021-02-11,MW681453.1,USA: Rhode Island,0.0,0.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0
2021-02-12,MW707987.1,USA: Rhode Island,0.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0
2021-02-12,MW707988.1,USA: Rhode Island,1.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0
2021-02-12,MW697910.1,USA: Rhode Island,1.0,0.0,4.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2021-02-12,MW697912.1,USA: Rhode Island,0.0,0.0,4.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
2021-02-12,MW697913.1,USA: Rhode Island,0.0,0.0,5.0,0.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
2021-02-12,MW698012.1,USA: Rhode Island,0.0,1.0,2.0,0.0,14.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0
2021-02-12,MW698036.1,USA: Rhode Island,1.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-02-15,MW696262.1,USA: Rhode Island,0.0,0.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2021-02-15,MW696268.1,USA: Rhode Island,0.0,0.0,4.0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0
2021-02-15,MW696355.1,USA: Rhode Island,1.0,1.0,4.0,0.0,9.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0
2021-02-15,MW696564.1,USA: Rhode Island,2.0,1.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2021-02-16,MW750132.1,USA: Rhode Island,0.0,2.0,3.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-02-16,MW750133.1,USA: Rhode Island,0.0,3.0,2.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
2021-02-16,MW750150.1,USA: Rhode Island,1.0,0.0,6.0,0.0,11.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-02-17,MW750114.1,USA: Rhode Island,0.0,0.0,3.0,2.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
2021-02-17,MW750115.1,USA: Rhode Island,1.0,0.0,4.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-17,MW750142.1,USA: Rhode Island,0.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0
2021-02-17,MW750147.1,USA: Rhode Island,0.0,0.0,3.0,1.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
2021-02-17,MW750156.1,USA: Rhode Island,0.0,0.0,3.0,1.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0
2021-02-17,MW750161.1,USA: Rhode Island,0.0,2.0,3.0,0.0,15.0,0.0,0.0,4.0,1.0,1.0,1.0,8.0
2021-02-17,MW750165.1,USA: Rhode Island,0.0,1.0,4.0,0.0,12.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0
2021-02-17,MW750172.1,USA: Rhode Island,0.0,1.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-02-17,MW750173.1,USA: Rhode Island,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-02-17,MW734747.1,USA: Rhode Island,1.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2021-02-17,MW720233.1,USA: Rhode Island,0.0,0.0,2.0,1.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-18,MW750138.1,USA: Rhode Island,0.0,3.0,2.0,3.0,14.0,0.0,1.0,2.0,2.0,2.0,3.0,4.0
2021-02-18,MW750143.1,USA: Rhode Island,1.0,0.0,2.0,2.0,10.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
2021-02-18,MW750144.1,USA: Rhode Island,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0
2021-02-18,MW750151.1,USA: Rhode Island,0.0,0.0,4.0,0.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
2021-02-18,MW750152.1,USA: Rhode Island,1.0,1.0,6.0,0.0,11.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
2021-02-18,MW750153.1,USA: Rhode Island,1.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-02-18,MW750162.1,USA: Rhode Island,1.0,0.0,5.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2021-02-18,MW750174.1,USA: Rhode Island,0.0,0.0,2.0,0.0,15.0,1.0,0.0,2.0,2.0,0.0,0.0,4.0
2021-02-19,MW750126.1,USA: Rhode Island,0.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0
2021-02-19,MW750154.1,USA: Rhode Island,0.0,1.0,3.0,0.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-02-19,MW750155.1,USA: Rhode Island,1.0,0.0,4.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-19,MW750164.1,USA: Rhode Island,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0
2021-02-19,MW750170.1,USA: Rhode Island,0.0,0.0,4.0,2.0,12.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2021-02-19,MW750176.1,USA: Rhode Island,1.0,0.0,5.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
2021-02-20,MW750129.1,USA: Rhode Island,0.0,0.0,4.0,1.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2021-02-20,MW750137.1,USA: Rhode Island,0.0,3.0,2.0,3.0,13.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0
2021-02-20,MW750160.1,USA: Rhode Island,0.0,1.0,4.0,0.0,13.0,0.0,0.0,6.0,1.0,1.0,0.0,6.0
2021-02-20,MW750167.1,USA: Rhode Island,0.0,0.0,2.0,1.0,9.0,0.0,0.0,3.0,0.0,2.0,0.0,5.0
2021-02-20,MW750168.1,USA: Rhode Island,0.0,0.0,3.0,1.0,9.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0
2021-02-20,MW750171.1,USA: Rhode Island,1.0,0.0,3.0,1.0,12.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0
2021-02-20,MW750179.1,USA: Rhode Island,1.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
