Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-03-23,MZ056001.1,USA: CT,1.0,0.0,4.0,0.0,17.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0
2021-03-27,MZ158815.1,USA: Connecticut,0.0,3.0,2.0,3.0,15.0,0.0,2.0,2.0,1.0,2.0,4.0,2.0
2021-03-27,MZ159104.1,USA: Connecticut,1.0,0.0,3.0,0.0,13.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2021-03-28,MZ158761.1,USA: Connecticut,1.0,0.0,6.0,0.0,12.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0
2021-03-28,MZ158851.1,USA: Connecticut,1.0,0.0,4.0,1.0,15.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-03-29,MZ158816.1,USA: Connecticut,0.0,3.0,2.0,3.0,16.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-29,MZ159178.1,USA: Connecticut,0.0,2.0,2.0,3.0,16.0,0.0,1.0,2.0,1.0,2.0,4.0,3.0
2021-03-29,MZ055959.1,USA: CT,1.0,0.0,4.0,0.0,17.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0
2021-03-29,MZ055966.1,USA: CT,1.0,0.0,4.0,0.0,17.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0
2021-03-29,MZ055976.1,USA: CT,1.0,0.0,4.0,0.0,17.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0
2021-03-31,MZ083480.1,USA: Connecticut,1.0,0.0,4.0,0.0,18.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0
2021-04-01,MZ083594.1,USA: Connecticut,0.0,3.0,2.0,3.0,17.0,0.0,1.0,5.0,1.0,2.0,3.0,2.0
2021-04-01,MZ083772.1,USA: Connecticut,1.0,0.0,3.0,0.0,16.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2021-04-01,MZ083790.1,USA: Connecticut,0.0,3.0,2.0,3.0,19.0,0.0,1.0,3.0,1.0,3.0,3.0,4.0
2021-04-02,MZ075811.1,USA: Connecticut,1.0,0.0,3.0,0.0,18.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0
