Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-05,MW940542.1,USA: South Carolina,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2021-01-02,MW850145.1,USA: SC,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0
2021-02-17,MW777397.1,USA: South Carolina,0.0,0.0,4.0,0.0,13.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
2021-02-18,MW778314.1,USA: South Carolina,0.0,0.0,3.0,1.0,13.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
2021-02-18,MW778339.1,USA: South Carolina,0.0,0.0,3.0,0.0,16.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0
2021-02-20,MW778275.1,USA: South Carolina,1.0,0.0,3.0,1.0,8.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0
2021-02-22,MW778963.1,USA: South Carolina,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-02-22,MW779040.1,USA: South Carolina,1.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2021-02-22,MW779045.1,USA: South Carolina,0.0,0.0,4.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2021-02-23,MW779093.1,USA: South Carolina,0.0,1.0,3.0,0.0,18.0,0.0,0.0,1.0,1.0,2.0,1.0,7.0
2021-02-24,MW779264.1,USA: South Carolina,0.0,1.0,2.0,0.0,16.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0
2021-02-28,MW844243.1,USA: South Carolina,1.0,2.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-03-02,MW851011.1,USA: South Carolina,0.0,0.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0
2021-03-02,MW780101.1,USA: South Carolina,0.0,0.0,3.0,2.0,13.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0
2021-03-03,MW851078.1,USA: South Carolina,0.0,0.0,4.0,0.0,19.0,0.0,0.0,1.0,0.0,2.0,1.0,6.0
2021-03-03,MW851079.1,USA: South Carolina,0.0,0.0,4.0,0.0,19.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0
2021-03-03,MW840946.1,USA: South Carolina,0.0,3.0,3.0,3.0,20.0,0.0,1.0,4.0,1.0,4.0,3.0,2.0
2021-03-03,MW776765.1,"USA: SC, CHARLESTON",0.0,0.0,4.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0
2021-03-03,MW776767.1,"USA: SC, DORCHESTER",0.0,0.0,3.0,1.0,19.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
2021-03-03,MW776771.1,"USA: SC, ORANGEBURG",1.0,2.0,3.0,2.0,13.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0
2021-03-03,MW776774.1,"USA: SC, Greenwood",0.0,0.0,2.0,0.0,15.0,0.0,0.0,2.0,0.0,2.0,1.0,4.0
2021-03-03,MW776777.1,"USA: SC, JASPER",0.0,2.0,5.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-03,MW776779.1,"USA: SC, CHESTERFIELD",0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-03-03,MW776781.1,"USA: SC, BEAUFORT",0.0,0.0,4.0,0.0,19.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0
2021-03-03,MW776791.1,"USA: SC, DORCHESTER",0.0,0.0,4.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2021-03-04,MW792716.1,USA: SC,0.0,0.0,2.0,1.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
2021-03-04,MW776762.1,"USA: SC, RICHLAND",1.0,0.0,1.0,0.0,13.0,0.0,1.0,2.0,0.0,1.0,0.0,5.0
2021-03-04,MW776769.1,"USA: SC, GREENWOOD",0.0,0.0,2.0,1.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
2021-03-04,MW776775.1,"USA: SC, CHARLESTON",0.0,1.0,2.0,0.0,19.0,0.0,0.0,2.0,1.0,2.0,0.0,6.0
2021-03-04,MW776776.1,"USA: SC, CHARLESTON",0.0,2.0,3.0,0.0,13.0,0.0,0.0,3.0,1.0,1.0,0.0,7.0
2021-03-04,MW776778.1,"USA: SC, HORRY",0.0,0.0,4.0,0.0,13.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2021-03-04,MW776783.1,"USA: SC, EDGEFIELD",0.0,2.0,2.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0
2021-03-04,MW776784.1,"USA: SC, MARLBORO",0.0,2.0,3.0,3.0,12.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-04,MW776785.1,"USA: SC, CHARLESTON",0.0,2.0,5.0,3.0,12.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0
2021-03-04,MW776788.1,"USA: SC, BEAUFORT",0.0,0.0,5.0,0.0,9.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0
2021-03-04,MW776790.1,"USA: SC, EDGEFIELD",0.0,0.0,2.0,0.0,14.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
2021-03-04,MW776792.1,"USA: SC, MCCORMICK",1.0,1.0,1.0,0.0,13.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0
2021-03-05,MW959923.1,"USA: SC, BEAUFORT",0.0,3.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,4.0,2.0
2021-03-05,MW959946.1,"USA: SC, BEAUFORT",0.0,0.0,3.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2021-03-05,MW959980.1,"USA: SC, GREENVILLE",0.0,1.0,3.0,0.0,12.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0
2021-03-05,MW849810.1,USA: SC,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,4.0,3.0,2.0
2021-03-05,MW792713.1,USA: SC,1.0,0.0,1.0,0.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
2021-03-05,MW792715.1,USA: SC,0.0,1.0,4.0,0.0,12.0,0.0,0.0,4.0,2.0,1.0,0.0,6.0
2021-03-05,MW792718.1,USA: SC,0.0,0.0,2.0,1.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0
2021-03-05,MW792719.1,USA: SC,0.0,0.0,3.0,1.0,12.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0
2021-03-05,MW792720.1,USA: SC,0.0,0.0,3.0,0.0,10.0,0.0,1.0,0.0,2.0,3.0,1.0,5.0
2021-03-05,MW776764.1,"USA: SC, BEAUFORT",0.0,3.0,2.0,3.0,15.0,0.0,1.0,3.0,1.0,2.0,4.0,2.0
2021-03-05,MW776780.1,"USA: SC, LAURENS",0.0,3.0,2.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0
2021-03-05,MW776794.1,"USA: SC, RICHLAND",1.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0
2021-03-06,MW959975.1,"USA: SC, CHARLESTON",0.0,1.0,2.0,0.0,13.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0
2021-03-06,MW776772.1,"USA: SC, CHARLESTON",1.0,0.0,1.0,0.0,12.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0
2021-03-07,MW959966.1,"USA: SC, LANCASTER",0.0,0.0,3.0,1.0,13.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0
2021-03-08,MW959876.1,"USA: SC, CHARLESTON",1.0,0.0,3.0,1.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
2021-03-08,MW959924.1,"USA: SC, SALUDA",1.0,1.0,4.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-03-08,MW959927.1,"USA: SC, AIKEN",0.0,0.0,3.0,0.0,7.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0
2021-03-08,MW959932.1,"USA: SC, LEXINGTON",1.0,0.0,4.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
2021-03-08,MW959936.1,"USA: SC, ORANGEBURG",0.0,1.0,2.0,3.0,14.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0
2021-03-08,MW959940.1,"USA: SC, DORCHESTER",0.0,2.0,2.0,3.0,11.0,0.0,1.0,2.0,2.0,4.0,3.0,1.0
2021-03-08,MW959942.1,"USA: SC, MARION",0.0,0.0,3.0,2.0,18.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0
2021-03-08,MW959948.1,"USA: SC, BEAUFORT",0.0,1.0,4.0,0.0,12.0,0.0,0.0,3.0,2.0,0.0,0.0,6.0
2021-03-08,MW959949.1,"USA: SC, DORCHESTER",0.0,0.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
2021-03-08,MW959958.1,"USA: SC, LANCASTER",0.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2021-03-08,MW959959.1,"USA: SC, CHESTERFIELD",0.0,3.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,4.0
2021-03-08,MW959962.1,"USA: SC, CHARLESTON",1.0,0.0,4.0,0.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
2021-03-08,MW959963.1,"USA: SC, BARNWELL",0.0,0.0,4.0,0.0,10.0,0.0,1.0,1.0,2.0,3.0,1.0,5.0
2021-03-08,MW959968.1,"USA: SC, RICHLAND",1.0,1.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2021-03-08,MW959971.1,"USA: SC, LEXINGTON",0.0,4.0,2.0,3.0,16.0,0.0,1.0,4.0,1.0,3.0,4.0,1.0
2021-03-08,MW959972.1,"USA: SC, LANCASTER",1.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
2021-03-08,MW959973.1,"USA: SC, LEXINGTON",0.0,4.0,2.0,3.0,16.0,0.0,1.0,4.0,1.0,3.0,4.0,1.0
2021-03-08,MW959974.1,"USA: SC, LEXINGTON",1.0,0.0,4.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
2021-03-08,MW959976.1,"USA: SC, LANCASTER",1.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-03-08,MW959991.1,"USA: SC, LANCASTER",0.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-03-08,MW905215.1,USA: South Carolina,0.0,3.0,3.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,4.0,3.0
2021-03-08,MW905216.1,USA: South Carolina,0.0,2.0,5.0,3.0,14.0,0.0,1.0,2.0,1.0,3.0,3.0,3.0
