Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-02-12,MW963202.1,USA: Illinois,2.0,2.0,4.0,1.0,15.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-02-16,MW975305.1,USA: Illinois,1.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
2021-02-19,MW975471.1,USA: Illinois,1.0,0.0,4.0,0.0,14.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0
2021-03-02,MW963821.1,USA: Illinois,0.0,2.0,5.0,3.0,15.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-02,MW889945.1,USA: Illinois,0.0,0.0,3.0,0.0,15.0,0.0,0.0,4.0,0.0,1.0,0.0,5.0
2021-03-02,MW905078.1,USA: Illinois,0.0,3.0,3.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-03-02,MW905079.1,USA: Illinois,0.0,3.0,3.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,3.0
2021-03-03,MW905049.1,USA: Illinois,2.0,2.0,4.0,1.0,15.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-03-05,MW976038.1,USA: Illinois,1.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-03-06,MW904865.1,USA: Illinois,0.0,2.0,3.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-07,MW963937.1,USA: Illinois,0.0,3.0,2.0,3.0,14.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-03-08,MW889944.1,USA: Illinois,0.0,1.0,4.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2021-03-08,MW905183.1,USA: Illinois,0.0,2.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-03-09,MW963223.1,USA: Illinois,2.0,2.0,3.0,1.0,16.0,1.0,1.0,3.0,0.0,4.0,2.0,5.0
2021-03-09,MW963224.1,USA: Illinois,2.0,2.0,4.0,1.0,14.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-03-09,MW963226.1,USA: Illinois,2.0,2.0,4.0,1.0,14.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-03-09,MW904932.1,USA: Illinois,0.0,3.0,3.0,3.0,14.0,0.0,1.0,4.0,1.0,3.0,3.0,4.0
2021-03-10,MW976288.1,USA: Illinois,0.0,0.0,6.0,0.0,15.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0
2021-03-10,MW976289.1,USA: Illinois,0.0,0.0,7.0,0.0,18.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0
2021-03-10,MW963238.1,USA: Illinois,2.0,2.0,4.0,1.0,13.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-03-10,MW889951.1,USA: Illinois,0.0,0.0,2.0,1.0,13.0,0.0,0.0,1.0,0.0,3.0,0.0,4.0
2021-03-10,MW904854.1,USA: Illinois,0.0,3.0,2.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-11,MW976322.1,USA: Illinois,1.0,0.0,3.0,1.0,14.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0
2021-03-11,MW976328.1,USA: Illinois,1.0,0.0,4.0,1.0,10.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0
2021-03-11,MW976336.1,USA: Illinois,1.0,0.0,4.0,0.0,17.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
2021-03-11,MW963239.1,USA: Illinois,2.0,2.0,4.0,1.0,13.0,1.0,1.0,2.0,0.0,5.0,2.0,4.0
2021-03-11,MW963245.1,USA: Illinois,2.0,2.0,4.0,1.0,13.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-03-11,MW963246.1,USA: Illinois,2.0,2.0,4.0,1.0,14.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-03-12,MW963227.1,USA: Illinois,2.0,2.0,3.0,1.0,18.0,1.0,1.0,2.0,0.0,5.0,2.0,4.0
2021-03-12,MW963228.1,USA: Illinois,2.0,2.0,3.0,1.0,18.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-03-12,MW963236.1,USA: Illinois,2.0,2.0,4.0,1.0,13.0,1.0,1.0,2.0,0.0,4.0,2.0,4.0
2021-03-12,MW963237.1,USA: Illinois,2.0,2.0,3.0,1.0,16.0,1.0,1.0,3.0,0.0,4.0,2.0,5.0
2021-03-12,MW905144.1,USA: Illinois,1.0,2.0,3.0,4.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-13,MW971644.1,USA: Illinois,0.0,2.0,6.0,3.0,15.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0
2021-03-14,MW913453.1,USA: Illinois,0.0,3.0,2.0,3.0,15.0,0.0,1.0,4.0,1.0,2.0,3.0,2.0
2021-03-14,MW904741.1,USA: Illinois,0.0,2.0,2.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0
2021-03-15,MW976399.1,USA: Illinois,0.0,0.0,4.0,1.0,14.0,0.0,1.0,3.0,1.0,2.0,1.0,3.0
2021-03-15,MW963250.1,USA: Illinois,2.0,2.0,4.0,1.0,13.0,1.0,2.0,2.0,0.0,4.0,2.0,4.0
2021-03-15,MW913443.1,USA: Illinois,0.0,2.0,2.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,4.0,2.0
