Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-11-30,MW739156.1,USA: CA,0.0,1.0,2.0,0.0,11.0,0.0,0.0,3.0,1.0,0.0,0.0,7.0
2020-11-30,MW739158.1,USA: CA,0.0,0.0,2.0,0.0,10.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0
2020-11-30,MW739163.1,USA: CA,1.0,1.0,4.0,0.0,9.0,0.0,0.0,4.0,0.0,2.0,2.0,5.0
2020-11-30,MW739175.1,USA: CA,0.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2020-11-30,MW739184.1,USA: CA,0.0,0.0,2.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-11-30,MW739190.1,USA: CA,1.0,1.0,2.0,0.0,13.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0
2020-11-30,MW739194.1,USA: CA,1.0,0.0,3.0,0.0,7.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0
2020-11-30,MW739200.1,USA: CA,0.0,0.0,3.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020-11-30,MW739214.1,USA: CA,0.0,0.0,3.0,0.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
2020-12-03,MW738258.1,"USA: CA, Santa Clara County",1.0,0.0,2.0,0.0,11.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2020-12-03,MW738259.1,"USA: CA, Santa Clara County",1.0,0.0,2.0,0.0,11.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2020-12-03,MW738260.1,"USA: CA, Santa Clara County",1.0,0.0,2.0,0.0,11.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2020-12-03,MW738263.1,"USA: CA, Santa Clara County",1.0,0.0,2.0,0.0,11.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
2020-12-07,MW738577.1,"USA: CA, Alameda County",0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
2020-12-07,MW738579.1,"USA: CA, Alameda County",0.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-12-07,MW738581.1,"USA: CA, Alameda County",0.0,0.0,2.0,1.0,5.0,0.0,1.0,4.0,0.0,1.0,1.0,4.0
2020-12-07,MW738590.1,"USA: CA, Alameda County",0.0,0.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-12-08,MW738565.1,"USA: CA, Alameda County",0.0,1.0,3.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0
