Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-06-13,MW976906.1,USA: South Carolina,1.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
2020-06-13,MW976907.1,USA: South Carolina,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0
2020-07-07,MW976889.1,USA: South Carolina,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-07-07,MW976890.1,USA: South Carolina,0.0,1.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
2020-07-07,MW976892.1,USA: South Carolina,0.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
2020-08-04,MW976894.1,USA: South Carolina,0.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020-08-04,MW976895.1,USA: South Carolina,1.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2020-08-04,MW976896.1,USA: South Carolina,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2020-08-04,MW976897.1,USA: South Carolina,0.0,0.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-04,MW976898.1,USA: South Carolina,0.0,0.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2020-08-11,MW976902.1,USA: South Carolina,0.0,0.0,2.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0
2020-08-18,MW976903.1,USA: South Carolina,0.0,1.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2020-08-18,MW976904.1,USA: South Carolina,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-10,MW974563.1,USA: South Carolina,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
2021-02-01,MW985151.1,USA: South Carolina,0.0,2.0,2.0,0.0,10.0,0.0,0.0,2.0,0.0,3.0,0.0,5.0
2021-03-12,MW993044.1,USA: South Carolina,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-03-15,MZ160239.1,"USA: SC, HORRY",0.0,0.0,5.0,2.0,5.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0
2021-03-15,MZ160255.1,"USA: SC, AIKEN",0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-15,MW966458.1,USA: South Carolina,0.0,0.0,3.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2021-03-17,MW994711.1,USA: South Carolina,0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-17,MW959821.1,"USA: SC, HORRY",0.0,1.0,3.0,0.0,13.0,1.0,0.0,3.0,1.0,0.0,0.0,6.0
2021-03-17,MW959826.1,"USA: SC, SUMTER",1.0,1.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0
2021-03-18,MW967008.1,USA: South Carolina,0.0,1.0,3.0,2.0,13.0,0.0,0.0,3.0,1.0,0.0,0.0,5.0
2021-03-18,MW959819.1,"USA: SC, BLUFFTON",0.0,3.0,4.0,3.0,14.0,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2021-03-19,MW968068.1,USA: South Carolina,1.0,1.0,3.0,0.0,11.0,0.0,0.0,3.0,1.0,0.0,0.0,8.0
2021-03-19,MW959817.1,"USA: SC, SALUDA",0.0,1.0,3.0,0.0,13.0,1.0,0.0,3.0,1.0,0.0,0.0,6.0
2021-03-19,MW959818.1,"USA: SC, DARLINGTON",0.0,1.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0
2021-03-19,MW959820.1,"USA: SC, ORANGEBURG",0.0,0.0,3.0,1.0,12.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0
2021-03-19,MW959827.1,"USA: SC, DILLON",0.0,0.0,1.0,1.0,8.0,1.0,0.0,4.0,0.0,3.0,1.0,8.0
2021-03-21,MW999984.1,USA: South Carolina,0.0,1.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0
2021-03-21,MW999996.1,USA: South Carolina,1.0,2.0,3.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0
2021-03-21,MZ000020.1,USA: South Carolina,0.0,2.0,5.0,2.0,14.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0
2021-03-21,MW965904.1,USA: South Carolina,1.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-03-22,MW992980.1,USA: South Carolina,0.0,1.0,2.0,1.0,14.0,0.0,0.0,4.0,1.0,1.0,1.0,4.0
2021-03-22,MW999997.1,USA: South Carolina,0.0,4.0,2.0,3.0,13.0,0.0,1.0,3.0,1.0,2.0,5.0,1.0
2021-03-22,MW959823.1,"USA: SC, SALUDA",0.0,3.0,3.0,3.0,14.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0
2021-03-22,MW959824.1,"USA: SC, LANCASTER",0.0,0.0,2.0,1.0,14.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0
2021-03-22,MW959825.1,"USA: SC, HORRY",0.0,0.0,3.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0
2021-03-22,MW959828.1,"USA: SC, DORCHESTER",0.0,0.0,3.0,0.0,12.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0
