Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2020-03-13,MT614555.1,USA: TN,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2020-03-14,MW191277.1,USA: TN,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,MW191492.1,USA: TN,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020-03-19,MW065198.1,USA: TN,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-04-28,MT806798.1,USA: TN,0.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
2020-08-05,MW487286.1,USA: TN,0.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
2020-08-17,MW566553.1,USA: TN,2.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2020-10-07,MW566555.1,USA: TN,0.0,0.0,2.0,0.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
2020-10-20,MW522484.1,USA: TN,0.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
2020-10-21,MW522485.1,USA: TN,0.0,0.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-10-22,MW522487.1,USA: TN,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0
2020-10-23,MW522486.1,USA: TN,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
2020-10-28,MW521782.1,USA: TN,1.0,1.0,2.0,0.0,10.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0
2020-10-30,MW521781.1,USA: TN,0.0,1.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0
2020-11-06,MW406515.1,USA: TN,0.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-11-06,MW406514.1,USA: TN,1.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
2020-11-06,MW406512.1,USA: TN,0.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0
2020-11-14,MW863020.1,USA: Tennessee,0.0,0.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2020-11-15,MW863074.1,USA: Tennessee,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
2020-11-16,MW863036.1,USA: Tennessee,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
2020-11-18,MW863055.1,USA: Tennessee,0.0,1.0,2.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0
2020-11-25,MW406639.1,USA: TN,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0
2020-11-27,MW863082.1,USA: Tennessee,0.0,0.0,3.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
2020-11-27,MW863043.1,USA: Tennessee,1.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2020-12-09,MW863013.1,USA: Tennessee,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2020-12-27,MW634299.1,USA: Tennessee,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0
2020-12-27,MW634314.1,USA: Tennessee,0.0,0.0,4.0,1.0,12.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0
2020-12-30,MW518855.1,USA: Tennessee,0.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
2020-12-31,MW863042.1,USA: Tennessee,0.0,0.0,4.0,0.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2020-12-31,MW863017.1,USA: Tennessee,0.0,0.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2021-01-02,MW518144.1,USA: Tennessee,0.0,0.0,3.0,1.0,15.0,0.0,0.0,1.0,1.0,0.0,1.0,6.0
2021-01-03,MW519829.1,USA: Tennessee,0.0,0.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2021-01-03,MW494378.1,USA: Tennessee,0.0,0.0,2.0,0.0,13.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0
2021-01-04,MW638736.1,USA: Tennessee,1.0,0.0,3.0,1.0,12.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0
2021-01-04,MW638747.1,USA: Tennessee,0.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
2021-01-05,MW638815.1,USA: Tennessee,1.0,0.0,4.0,1.0,9.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
2021-01-05,MW523845.1,USA: Tennessee,0.0,0.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
2021-01-05,MW519704.1,USA: Tennessee,0.0,1.0,2.0,0.0,14.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
2021-01-06,MW863050.1,USA: Tennessee,1.0,0.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2021-01-07,MW596089.1,USA: Tennessee,1.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-01-07,MW596140.1,USA: Tennessee,0.0,0.0,4.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-01-07,MW596193.1,USA: Tennessee,0.0,0.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0
2021-01-10,MW525077.1,USA: Tennessee,0.0,0.0,2.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0
2021-01-11,MW708749.1,USA: TN,0.0,0.0,2.0,0.0,13.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0
2021-01-11,MW638299.1,USA: Tennessee,1.0,0.0,4.0,1.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0
2021-01-11,MW638323.1,USA: Tennessee,0.0,0.0,2.0,0.0,14.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0
2021-01-11,MW638325.1,USA: Tennessee,0.0,0.0,3.0,0.0,10.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0
2021-01-11,MW638348.1,USA: Tennessee,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
2021-01-11,MW638350.1,USA: Tennessee,0.0,0.0,3.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2021-01-12,MW524945.1,USA: Tennessee,0.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0
2021-01-12,MW525005.1,USA: Tennessee,0.0,0.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-01-17,MW585957.1,USA: Tennessee,0.0,1.0,2.0,0.0,12.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0
2021-01-18,MW585916.1,USA: Tennessee,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2021-01-20,MW637124.1,USA: Tennessee,0.0,0.0,2.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
2021-01-20,MW586564.1,USA: Tennessee,0.0,2.0,4.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
2021-01-21,MW586502.1,USA: Tennessee,0.0,0.0,5.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-01-22,MW667461.1,USA: Tennessee,0.0,0.0,4.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0
2021-01-23,MW666847.1,USA: Tennessee,0.0,0.0,5.0,1.0,13.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0
2021-01-23,MW586380.1,USA: Tennessee,0.0,0.0,2.0,0.0,16.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0
2021-01-24,MW666823.1,USA: Tennessee,0.0,0.0,2.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0
2021-01-24,MW666871.1,USA: Tennessee,0.0,0.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0
2021-01-24,MW666873.1,USA: Tennessee,0.0,0.0,3.0,1.0,12.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0
2021-01-24,MW640762.1,USA: Tennessee,0.0,0.0,5.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
2021-01-25,MW640713.1,USA: Tennessee,1.0,0.0,4.0,2.0,12.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0
2021-01-26,MW708737.1,USA: TN,1.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2021-01-26,MW708738.1,USA: TN,1.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2021-01-26,MW708740.1,USA: TN,1.0,0.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
2021-01-26,MW708742.1,USA: TN,2.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
2021-01-26,MW640937.1,USA: Tennessee,0.0,0.0,3.0,0.0,12.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0
2021-01-26,MW708745.1,USA: TN,2.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
2021-01-26,MW708747.1,USA: TN,0.0,0.0,3.0,2.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2021-01-26,MW708748.1,USA: TN,0.0,0.0,3.0,2.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
2021-01-26,MW708751.1,USA: TN,0.0,0.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2021-01-26,MW708754.1,USA: TN,0.0,1.0,2.0,0.0,17.0,0.0,0.0,2.0,1.0,0.0,0.0,6.0
2021-01-26,MW708743.1,USA: TN,0.0,0.0,4.0,0.0,17.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0
2021-01-27,MW586234.1,USA: Tennessee,0.0,0.0,6.0,2.0,9.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-01-28,MW586183.1,USA: Tennessee,1.0,0.0,2.0,0.0,15.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2021-01-28,MW708752.1,USA: TN,0.0,0.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
2021-01-28,MW708760.1,USA: TN,0.0,1.0,3.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
2021-01-28,MW708744.1,USA: TN,0.0,0.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
2021-01-28,MW708741.1,USA: TN,0.0,0.0,2.0,1.0,10.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0
2021-01-28,MW708750.1,USA: TN,0.0,1.0,2.0,0.0,16.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0
2021-01-30,MW596031.1,USA: Tennessee,0.0,0.0,6.0,2.0,10.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0
2021-02-01,MW643431.1,USA: Tennessee,0.0,0.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0,2.0,1.0,8.0
2021-02-04,MW792641.1,USA: TN,0.0,0.0,5.0,0.0,12.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0
2021-02-04,MW792650.1,USA: TN,1.0,0.0,1.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
2021-02-04,MW792652.1,USA: TN,0.0,0.0,2.0,0.0,14.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0
2021-02-04,MW672687.1,USA: Tennessee,0.0,1.0,2.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2021-02-04,MW631807.1,USA: Tennessee,1.0,0.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
2021-02-06,MW693579.1,USA: Tennessee,1.0,0.0,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0
2021-02-08,MW696907.1,USA: Tennessee,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
2021-02-09,MW693945.1,USA: Tennessee,0.0,0.0,3.0,0.0,13.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0
2021-02-09,MW705851.1,USA: Tennessee,0.0,1.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-02-09,MW792656.1,USA: TN,1.0,0.0,2.0,2.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0
2021-02-09,MW792648.1,USA: TN,0.0,0.0,3.0,0.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
2021-02-09,MW792659.1,USA: TN,0.0,0.0,2.0,0.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
2021-02-09,MW792655.1,USA: TN,1.0,0.0,2.0,2.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,5.0
2021-02-09,MW704700.1,USA: Tennessee,0.0,1.0,4.0,0.0,11.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0
2021-02-10,MW693699.1,USA: Tennessee,0.0,2.0,2.0,0.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0
2021-02-10,MW704688.1,USA: Tennessee,1.0,1.0,3.0,1.0,13.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
2021-02-11,MW792639.1,USA: TN,0.0,0.0,2.0,1.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0
2021-02-11,MW792646.1,USA: TN,0.0,0.0,3.0,0.0,16.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0
2021-02-11,MW792647.1,USA: TN,0.0,1.0,2.0,0.0,13.0,0.0,0.0,2.0,1.0,1.0,0.0,5.0
2021-02-11,MW792649.1,USA: TN,0.0,1.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-02-11,MW792651.1,USA: TN,0.0,0.0,5.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
2021-02-11,MW792653.1,USA: TN,0.0,1.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-02-11,MW792660.1,USA: TN,0.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2021-02-11,MW705000.1,USA: Tennessee,0.0,0.0,4.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
2021-02-11,MW792638.1,USA: TN,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0
2021-02-12,MW694252.1,USA: Tennessee,0.0,0.0,3.0,1.0,12.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0
2021-02-16,MW708038.1,USA: Tennessee,0.0,0.0,4.0,0.0,14.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0
2021-02-19,MW728608.1,USA: Tennessee,1.0,0.0,3.0,1.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0
2021-02-20,MW796079.1,USA: Tennessee,0.0,1.0,2.0,0.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0
2021-02-20,MW728663.1,USA: Tennessee,0.0,0.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0
2021-02-22,MW733796.1,USA: Tennessee,0.0,0.0,3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0
2021-02-23,MW849779.1,USA: TN,0.0,3.0,2.0,3.0,17.0,0.0,1.0,3.0,1.0,3.0,3.0,1.0
2021-02-23,MW796092.1,USA: Tennessee,0.0,0.0,3.0,1.0,8.0,0.0,0.0,3.0,0.0,4.0,1.0,6.0
