Dates,ID,Geolocation,A->C,A->T,A->G,C->A,C->T,C->G,T->A,T->C,T->G,G->A,G->C,G->T
2021-01-12,MW930373.1,USA: GA,1.0,0.0,3.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2021-01-12,MW930374.1,USA: GA,1.0,0.0,2.0,1.0,8.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
2021-01-12,MW930375.1,USA: GA,0.0,0.0,3.0,1.0,16.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0
2021-01-15,MW939454.1,USA: GA,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0
2021-01-15,MW939455.1,USA: GA,0.0,0.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0
2021-01-25,MW930371.1,USA: GA,0.0,0.0,3.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0
2021-01-25,MW930372.1,USA: GA,0.0,0.0,3.0,0.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0
2021-01-25,MW917197.1,USA: GA,0.0,0.0,2.0,0.0,12.0,0.0,0.0,1.0,1.0,3.0,0.0,4.0
2021-01-28,MW930376.1,USA: GA,0.0,0.0,3.0,0.0,12.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0
2021-01-28,MW930377.1,USA: GA,0.0,0.0,5.0,1.0,6.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0
2021-01-28,MW930378.1,USA: GA,0.0,2.0,2.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
2021-01-28,MW930379.1,USA: GA,1.0,1.0,2.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
2021-01-28,MW930380.1,USA: GA,1.0,1.0,2.0,0.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0
2021-01-28,MW930381.1,USA: GA,0.0,2.0,5.0,3.0,13.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0
